PublicationID,FieldName
1,Healthcare & Biotech
2,Technology
3,Industrial & Manufacturing
4,Financial
5,Industrial & Manufacturing
6,Industrial & Manufacturing
7,Technology
8,Industrial & Manufacturing
9,Healthcare & Biotech
10,Consumer & Retail
11,Materials & Chemicals
12,Industrial & Manufacturing
13,Healthcare & Biotech
14,Industrial & Manufacturing
15,Transportation & Logistics
16,Healthcare & Biotech
17,Technology
18,Materials & Chemicals
19,Financial
20,Healthcare & Biotech
21,Telecommunications
22,Healthcare & Biotech
23,Healthcare & Biotech
24,Healthcare & Biotech
25,Financial
26,Technology
27,Healthcare & Biotech
28,Industrial & Manufacturing
29,Technology
30,Transportation & Logistics
31,Financial
32,Consumer & Retail
33,Technology
34,Consumer & Retail
35,Consumer & Retail
36,Consumer & Retail
37,Financial
38,Healthcare & Biotech
39,Healthcare & Biotech
40,Financial
41,Healthcare & Biotech
42,Energy & Utilities
43,Telecommunications
44,Industrial & Manufacturing
45,Technology
46,Technology
47,Real Estate
48,Technology
49,Healthcare & Biotech
50,Healthcare & Biotech
51,Healthcare & Biotech
52,Materials & Chemicals
53,Technology
54,Industrial & Manufacturing
55,Technology
56,Industrial & Manufacturing
57,Healthcare & Biotech
58,Technology
59,Industrial & Manufacturing
60,Healthcare & Biotech
61,Materials & Chemicals
62,Industrial & Manufacturing
63,Consumer & Retail
64,Consumer & Retail
65,Healthcare & Biotech
66,Consumer & Retail
67,Energy & Utilities
68,Technology
69,Financial
70,Consumer & Retail
71,Financial
72,Industrial & Manufacturing
73,Industrial & Manufacturing
74,Healthcare & Biotech
75,Materials & Chemicals
76,Materials & Chemicals
77,Consumer & Retail
78,Technology
79,Financial
80,Consumer & Retail
81,Financial
82,Industrial & Manufacturing
83,Technology
84,Technology
85,Consumer & Retail
85,Financial
86,Financial
87,Transportation & Logistics
88,Technology
89,Technology
90,Technology
91,Technology
92,Technology
93,Industrial & Manufacturing
94,Consumer & Retail
95,Consumer & Retail
96,Healthcare & Biotech
97,Industrial & Manufacturing
98,Transportation & Logistics
99,Technology
100,Technology
101,Technology
102,Healthcare & Biotech
103,Industrial & Manufacturing
104,Industrial & Manufacturing
105,Technology
106,Technology
107,Consumer & Retail
108,Consumer & Retail
109,Financial
110,Healthcare & Biotech
111,Consumer & Retail
112,Financial
113,Consumer & Retail
114,Financial
115,Consumer & Retail
116,Industrial & Manufacturing
117,Financial
118,Financial
119,Financial
120,Financial
121,Transportation & Logistics
122,Healthcare & Biotech
123,Financial
124,Technology
125,Technology
126,Consumer & Retail
127,Industrial & Manufacturing
127,Technology
128,Healthcare & Biotech
129,Healthcare & Biotech
130,Consumer & Retail
131,Technology
132,Technology
133,Healthcare & Biotech
134,Healthcare & Biotech
135,Industrial & Manufacturing
136,Healthcare & Biotech
137,Consumer & Retail
138,Transportation & Logistics
139,Technology
140,Technology
141,Consumer & Retail
142,Healthcare & Biotech
143,Healthcare & Biotech
144,Technology
145,Technology
146,Financial
147,Technology
148,Industrial & Manufacturing
149,Industrial & Manufacturing
150,Consumer & Retail
151,Technology
152,Industrial & Manufacturing
153,Industrial & Manufacturing
154,Technology
155,Healthcare & Biotech
156,Financial
157,Healthcare & Biotech
158,Industrial & Manufacturing
159,Healthcare & Biotech
160,Technology
161,Technology
162,Healthcare & Biotech
163,Technology
164,Consumer & Retail
165,Technology
166,Financial
167,Healthcare & Biotech
168,Technology
169,Real Estate
170,Healthcare & Biotech
171,Financial
172,Technology
173,Financial
174,Industrial & Manufacturing
175,Consumer & Retail
176,Healthcare & Biotech
177,Consumer & Retail
178,Technology
179,Technology
180,Consumer & Retail
181,Healthcare & Biotech
182,Financial
183,Industrial & Manufacturing
184,Consumer & Retail
185,Healthcare & Biotech
186,Financial
187,Technology
188,Consumer & Retail
189,Financial
190,Real Estate
191,Energy & Utilities
192,Consumer & Retail
193,Industrial & Manufacturing
194,Financial
195,Financial
196,Technology
197,Healthcare & Biotech
198,Industrial & Manufacturing
199,Healthcare & Biotech
200,Materials & Chemicals
201,Healthcare & Biotech
202,Telecommunications
203,Financial
204,Materials & Chemicals
205,Financial
206,Consumer & Retail
207,Technology
208,Healthcare & Biotech
209,Financial
210,Financial
211,Financial
212,Healthcare & Biotech
213,Healthcare & Biotech
214,Healthcare & Biotech
215,Transportation & Logistics
216,Financial
217,Industrial & Manufacturing
218,Consumer & Retail
219,Technology
220,Financial
221,Real Estate
222,Industrial & Manufacturing
223,Healthcare & Biotech
224,Consumer & Retail
225,Transportation & Logistics
226,Financial
226,Real Estate
227,Energy & Utilities
228,Financial
229,Consumer & Retail
230,Healthcare & Biotech
231,Financial
232,Transportation & Logistics
233,Healthcare & Biotech
234,Industrial & Manufacturing
235,Financial
236,Technology
237,Financial
238,Healthcare & Biotech
239,Healthcare & Biotech
240,Financial
241,Technology
242,Technology
243,Healthcare & Biotech
244,Technology
245,Consumer & Retail
245,Financial
246,Technology
247,Consumer & Retail
248,Technology
249,Healthcare & Biotech
250,Materials & Chemicals
251,Consumer & Retail
252,Consumer & Retail
253,Financial
254,Financial
255,Healthcare & Biotech
256,Technology
257,Financial
258,Healthcare & Biotech
259,Technology
260,Healthcare & Biotech
261,Technology
262,Financial
263,Technology
264,Consumer & Retail
265,Technology
266,Consumer & Retail
267,Transportation & Logistics
268,Healthcare & Biotech
269,Technology
270,Financial
271,Real Estate
272,Industrial & Manufacturing
273,Technology
274,Healthcare & Biotech
275,Technology
276,Consumer & Retail
277,Energy & Utilities
278,Financial
279,Technology
280,Healthcare & Biotech
281,Financial
282,Healthcare & Biotech
283,Healthcare & Biotech
284,Consumer & Retail
285,Financial
286,Technology
287,Financial
288,Healthcare & Biotech
289,Technology
290,Technology
291,Financial
292,Financial
293,Consumer & Retail
294,Technology
295,Energy & Utilities
296,Technology
297,Technology
298,Technology
299,Industrial & Manufacturing
300,Technology
301,Technology
302,Technology
303,Healthcare & Biotech
304,Consumer & Retail
305,Healthcare & Biotech
306,Healthcare & Biotech
307,Financial
308,Consumer & Retail
309,Technology
310,Industrial & Manufacturing
311,Technology
312,Real Estate
313,Technology
314,Materials & Chemicals
315,Healthcare & Biotech
316,Financial
317,Consumer & Retail
318,Industrial & Manufacturing
319,Transportation & Logistics
320,Energy & Utilities
321,Consumer & Retail
322,Industrial & Manufacturing
323,Consumer & Retail
324,Industrial & Manufacturing
325,Healthcare & Biotech
326,Industrial & Manufacturing
327,Technology
328,Materials & Chemicals
329,Technology
330,Energy & Utilities
331,Transportation & Logistics
332,Financial
333,Financial
334,Technology
335,Healthcare & Biotech
336,Industrial & Manufacturing
337,Financial
338,Healthcare & Biotech
339,Healthcare & Biotech
340,Industrial & Manufacturing
341,Energy & Utilities
342,Transportation & Logistics
343,Financial
344,Industrial & Manufacturing
345,Materials & Chemicals
346,Real Estate
347,Healthcare & Biotech
348,Energy & Utilities
349,Consumer & Retail
350,Consumer & Retail
351,Healthcare & Biotech
352,Financial
353,Technology
354,Financial
355,Industrial & Manufacturing
356,Consumer & Retail
357,Healthcare & Biotech
358,Financial
359,Technology
360,Technology
361,Industrial & Manufacturing
362,Industrial & Manufacturing
363,Energy & Utilities
364,Financial
365,Technology
366,Technology
367,Consumer & Retail
368,Financial
369,Financial
370,Financial
371,Industrial & Manufacturing
372,Technology
373,Healthcare & Biotech
374,Financial
375,Financial
376,Materials & Chemicals
377,Consumer & Retail
378,Financial
379,Energy & Utilities
380,Consumer & Retail
381,Financial
382,Healthcare & Biotech
383,Industrial & Manufacturing
384,Consumer & Retail
385,Telecommunications
386,Industrial & Manufacturing
386,Transportation & Logistics
387,Financial
388,Consumer & Retail
389,Real Estate
390,Financial
391,Healthcare & Biotech
392,Consumer & Retail
393,Consumer & Retail
394,Technology
395,Materials & Chemicals
396,Technology
397,Energy & Utilities
398,Technology
399,Industrial & Manufacturing
400,Financial
401,Financial
402,Consumer & Retail
403,Materials & Chemicals
404,Financial
405,Consumer & Retail
406,Consumer & Retail
407,Industrial & Manufacturing
408,Technology
409,Financial
410,Technology
411,Financial
412,Consumer & Retail
413,Healthcare & Biotech
414,Financial
415,Healthcare & Biotech
416,Financial
417,Healthcare & Biotech
418,Healthcare & Biotech
419,Materials & Chemicals
420,Healthcare & Biotech
421,Materials & Chemicals
422,Industrial & Manufacturing
423,Financial
424,Industrial & Manufacturing
425,Technology
426,Healthcare & Biotech
427,Financial
428,Healthcare & Biotech
429,Consumer & Retail
430,Technology
431,Technology
432,Industrial & Manufacturing
433,Financial
434,Healthcare & Biotech
435,Technology
436,Healthcare & Biotech
437,Industrial & Manufacturing
438,Technology
439,Financial
440,Technology
441,Consumer & Retail
442,Technology
443,Technology
444,Industrial & Manufacturing
445,Consumer & Retail
446,Industrial & Manufacturing
447,Healthcare & Biotech
448,Technology
449,Consumer & Retail
450,Transportation & Logistics
451,Financial
452,Financial
453,Industrial & Manufacturing
454,Industrial & Manufacturing
455,Technology
456,Industrial & Manufacturing
457,Consumer & Retail
458,Industrial & Manufacturing
459,Financial
460,Technology
461,Industrial & Manufacturing
462,Financial
463,Financial
464,Transportation & Logistics
465,Transportation & Logistics
466,Technology
467,Financial
468,Technology
469,Industrial & Manufacturing
470,Consumer & Retail
471,Consumer & Retail
472,Financial
473,Financial
474,Financial
475,Consumer & Retail
476,Consumer & Retail
477,Healthcare & Biotech
478,Materials & Chemicals
479,Industrial & Manufacturing
480,Healthcare & Biotech
481,Materials & Chemicals
482,Consumer & Retail
483,Healthcare & Biotech
484,Technology
485,Materials & Chemicals
486,Technology
487,Financial
488,Technology
489,Technology
490,Technology
491,Consumer & Retail
492,Materials & Chemicals
493,Industrial & Manufacturing
494,Financial
495,Consumer & Retail
496,Financial
497,Real Estate
498,Financial
499,Financial
500,Technology
501,Technology
502,Healthcare & Biotech
503,Financial
504,Financial
505,Consumer & Retail
506,Energy & Utilities
507,Financial
508,Energy & Utilities
509,Transportation & Logistics
510,Technology
511,Consumer & Retail
512,Transportation & Logistics
513,Consumer & Retail
514,Financial
515,Financial
516,Healthcare & Biotech
517,Transportation & Logistics
518,Healthcare & Biotech
519,Financial
520,Industrial & Manufacturing
521,Consumer & Retail
522,Healthcare & Biotech
523,Healthcare & Biotech
524,Technology
525,Healthcare & Biotech
526,Technology
527,Healthcare & Biotech
528,Consumer & Retail
529,Industrial & Manufacturing
530,Financial
531,Financial
532,Healthcare & Biotech
533,Energy & Utilities
534,Technology
535,Technology
536,Consumer & Retail
537,Consumer & Retail
538,Consumer & Retail
538,Financial
539,Healthcare & Biotech
540,Materials & Chemicals
541,Healthcare & Biotech
542,Healthcare & Biotech
543,Financial
544,Technology
545,Technology
546,Transportation & Logistics
547,Industrial & Manufacturing
548,Materials & Chemicals
549,Technology
550,Transportation & Logistics
551,Healthcare & Biotech
552,Transportation & Logistics
553,Healthcare & Biotech
554,Technology
555,Technology
556,Financial
557,Consumer & Retail
558,Industrial & Manufacturing
559,Consumer & Retail
560,Consumer & Retail
561,Technology
562,Industrial & Manufacturing
563,Energy & Utilities
564,Consumer & Retail
565,Financial
566,Energy & Utilities
567,Healthcare & Biotech
568,Technology
569,Healthcare & Biotech
570,Transportation & Logistics
571,Financial
572,Technology
573,Technology
574,Technology
575,Consumer & Retail
576,Industrial & Manufacturing
577,Industrial & Manufacturing
578,Financial
579,Financial
580,Healthcare & Biotech
581,Consumer & Retail
582,Technology
583,Financial
584,Industrial & Manufacturing
585,Technology
586,Transportation & Logistics
587,Consumer & Retail
588,Technology
589,Industrial & Manufacturing
590,Technology
591,Consumer & Retail
592,Healthcare & Biotech
593,Industrial & Manufacturing
594,Healthcare & Biotech
595,Consumer & Retail
596,Industrial & Manufacturing
597,Technology
598,Financial
599,Industrial & Manufacturing
600,Technology
601,Materials & Chemicals
602,Materials & Chemicals
603,Healthcare & Biotech
604,Consumer & Retail
605,Technology
606,Healthcare & Biotech
607,Industrial & Manufacturing
608,Technology
609,Financial
610,Financial
611,Healthcare & Biotech
612,Financial
613,Industrial & Manufacturing
614,Technology
615,Financial
616,Industrial & Manufacturing
617,Financial
618,Financial
619,Telecommunications
620,Materials & Chemicals
621,Healthcare & Biotech
622,Telecommunications
623,Consumer & Retail
624,Technology
625,Consumer & Retail
626,Technology
627,Consumer & Retail
628,Industrial & Manufacturing
629,Financial
630,Financial
631,Technology
632,Industrial & Manufacturing
633,Industrial & Manufacturing
634,Healthcare & Biotech
635,Healthcare & Biotech
636,Consumer & Retail
637,Consumer & Retail
638,Healthcare & Biotech
639,Technology
640,Technology
641,Technology
642,Industrial & Manufacturing
643,Healthcare & Biotech
644,Materials & Chemicals
645,Industrial & Manufacturing
646,Transportation & Logistics
647,Healthcare & Biotech
648,Industrial & Manufacturing
649,Healthcare & Biotech
650,Materials & Chemicals
651,Industrial & Manufacturing
652,Healthcare & Biotech
653,Technology
654,Healthcare & Biotech
655,Financial
656,Consumer & Retail
657,Technology
658,Financial
659,Healthcare & Biotech
660,Healthcare & Biotech
661,Technology
662,Consumer & Retail
663,Energy & Utilities
664,Financial
665,Healthcare & Biotech
666,Real Estate
667,Energy & Utilities
668,Industrial & Manufacturing
669,Technology
670,Technology
671,Healthcare & Biotech
672,Healthcare & Biotech
673,Industrial & Manufacturing
674,Industrial & Manufacturing
675,Financial
676,Technology
677,Consumer & Retail
678,Healthcare & Biotech
679,Industrial & Manufacturing
680,Healthcare & Biotech
681,Healthcare & Biotech
682,Materials & Chemicals
683,Technology
684,Financial
685,Financial
686,Industrial & Manufacturing
687,Transportation & Logistics
688,Industrial & Manufacturing
689,Industrial & Manufacturing
690,Consumer & Retail
691,Technology
692,Technology
693,Financial
694,Materials & Chemicals
695,Technology
696,Healthcare & Biotech
697,Financial
698,Technology
699,Financial
700,Transportation & Logistics
701,Industrial & Manufacturing
702,Technology
703,Healthcare & Biotech
704,Transportation & Logistics
705,Healthcare & Biotech
706,Financial
707,Healthcare & Biotech
708,Technology
708,Telecommunications
709,Consumer & Retail
709,Financial
710,Healthcare & Biotech
711,Healthcare & Biotech
712,Materials & Chemicals
713,Financial
714,Materials & Chemicals
715,Consumer & Retail
716,Healthcare & Biotech
717,Healthcare & Biotech
718,Technology
719,Technology
720,Consumer & Retail
721,Technology
722,Technology
723,Technology
724,Financial
725,Materials & Chemicals
726,Healthcare & Biotech
727,Industrial & Manufacturing
728,Healthcare & Biotech
729,Healthcare & Biotech
730,Technology
731,Healthcare & Biotech
732,Healthcare & Biotech
733,Financial
734,Consumer & Retail
735,Healthcare & Biotech
736,Consumer & Retail
737,Healthcare & Biotech
738,Financial
739,Financial
740,Consumer & Retail
741,Financial
742,Technology
743,Materials & Chemicals
744,Technology
745,Technology
746,Financial
747,Materials & Chemicals
748,Industrial & Manufacturing
749,Industrial & Manufacturing
750,Healthcare & Biotech
751,Consumer & Retail
752,Technology
753,Industrial & Manufacturing
754,Healthcare & Biotech
755,Technology
756,Healthcare & Biotech
757,Healthcare & Biotech
758,Financial
759,Financial
760,Consumer & Retail
761,Consumer & Retail
762,Industrial & Manufacturing
763,Financial
764,Industrial & Manufacturing
765,Technology
766,Energy & Utilities
767,Technology
768,Technology
769,Healthcare & Biotech
770,Healthcare & Biotech
771,Technology
772,Industrial & Manufacturing
773,Materials & Chemicals
774,Technology
775,Financial
776,Consumer & Retail
777,Healthcare & Biotech
778,Consumer & Retail
779,Consumer & Retail
780,Industrial & Manufacturing
781,Financial
782,Transportation & Logistics
783,Healthcare & Biotech
784,Healthcare & Biotech
785,Industrial & Manufacturing
786,Technology
787,Financial
788,Financial
789,Technology
790,Technology
791,Technology
792,Technology
793,Consumer & Retail
794,Financial
795,Industrial & Manufacturing
796,Technology
797,Technology
798,Consumer & Retail
799,Technology
800,Industrial & Manufacturing
801,Real Estate
802,Industrial & Manufacturing
803,Technology
804,Healthcare & Biotech
805,Real Estate
806,Industrial & Manufacturing
807,Healthcare & Biotech
808,Financial
809,Technology
810,Technology
811,Industrial & Manufacturing
812,Financial
813,Healthcare & Biotech
814,Technology
815,Healthcare & Biotech
816,Financial
817,Financial
818,Telecommunications
819,Real Estate
820,Consumer & Retail
821,Healthcare & Biotech
821,Materials & Chemicals
822,Financial
823,Healthcare & Biotech
824,Financial
825,Financial
825,Real Estate
826,Healthcare & Biotech
827,Consumer & Retail
828,Energy & Utilities
829,Healthcare & Biotech
830,Industrial & Manufacturing
831,Industrial & Manufacturing
832,Healthcare & Biotech
833,Technology
834,Technology
835,Consumer & Retail
836,Materials & Chemicals
837,Healthcare & Biotech
838,Industrial & Manufacturing
839,Financial
840,Financial
841,Consumer & Retail
842,Industrial & Manufacturing
843,Transportation & Logistics
844,Materials & Chemicals
845,Technology
846,Industrial & Manufacturing
847,Healthcare & Biotech
848,Industrial & Manufacturing
849,Technology
850,Energy & Utilities
851,Consumer & Retail
